待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 17050/17922 | 输入 2523084 tok | 输出 1916939 tok | 费用 ¥6.3570 | 1887s
进度 17060/17922 | 输入 2524364 tok | 输出 1917909 tok | 费用 ¥6.3602 | 1888s
进度 17070/17922 | 输入 2525957 tok | 输出 1919201 tok | 费用 ¥6.3644 | 1891s
进度 17080/17922 | 输入 2528189 tok | 输出 1921110 tok | 费用 ¥6.3704 | 1895s
进度 17090/17922 | 输入 2530462 tok | 输出 1923040 tok | 费用 ¥6.3765 | 1898s
进度 17100/17922 | 输入 2532874 tok | 输出 1925070 tok | 费用 ¥6.3830 | 1899s
进度 17110/17922 | 输入 2536779 tok | 输出 1928593 tok | 费用 ¥6.3940 | 1902s
进度 17120/17922 | 输入 2539635 tok | 输出 1931052 tok | 费用 ¥6.4017 | 1903s
进度 17130/17922 | 输入 2540969 tok | 输出 1932066 tok | 费用 ¥6.4051 | 1908s
进度 17140/17922 | 输入 2542965 tok | 输出 1933727 tok | 费用 ¥6.4104 | 1909s
进度 17150/17922 | 输入 2545405 tok | 输出 1935840 tok | 费用 ¥6.4171 | 1909s
进度 17160/17922 | 输入 2546511 tok | 输出 1936618 tok | 费用 ¥6.4197 | 1913s
进度 17170/17922 | 输入 2548938 tok | 输出 1938651 tok | 费用 ¥6.4262 | 1914s
进度 17180/17922 | 输入 2553399 tok | 输出 1942727 tok | 费用 ¥6.4389 | 1915s
进度 17190/17922 | 输入 2557556 tok | 输出 1946545 tok | 费用 ¥6.4506 | 1916s
进度 17200/17922 | 输入 2560295 tok | 输出 1948717 tok | 费用 ¥6.4577 | 1922s
进度 17210/17922 | 输入 2563349 tok | 输出 1951147 tok | 费用 ¥6.4656 | 1923s
进度 17220/17922 | 输入 2565734 tok | 输出 1953017 tok | 费用 ¥6.4718 | 1924s
进度 17230/17922 | 输入 2569439 tok | 输出 1956252 tok | 费用 ¥6.4819 | 1933s
  批次失败(第1次, 深度0): 返回条数 7 != 请求 10 | 原始: '{"results": [{"id": 42291, "content_zh": "[in] s：一个描述符，标识需要事件通知的套接字。[in] hWnd：一个句柄，标识当网络事件发生时将接收消息的窗口。[in] wMsg：当网络事件; 1s 后重试
进度 17240/17922 | 输入 2572009 tok | 输出 1958511 tok | 费用 ¥6.4890 | 1934s
进度 17250/17922 | 输入 2575940 tok | 输出 1962004 tok | 费用 ¥6.4999 | 1935s
进度 17260/17922 | 输入 2579297 tok | 输出 1964906 tok | 费用 ¥6.5091 | 1939s
进度 17270/17922 | 输入 2582797 tok | 输出 1967876 tok | 费用 ¥6.5185 | 1941s
进度 17280/17922 | 输入 2584478 tok | 输出 1969234 tok | 费用 ¥6.5229 | 1941s
进度 17290/17922 | 输入 2587503 tok | 输出 1971814 tok | 费用 ¥6.5311 | 1950s
进度 17300/17922 | 输入 2590345 tok | 输出 1974122 tok | 费用 ¥6.5386 | 1954s
进度 17310/17922 | 输入 2594265 tok | 输出 1977622 tok | 费用 ¥6.5495 | 1954s
进度 17320/17922 | 输入 2601955 tok | 输出 1984086 tok | 费用 ¥6.5701 | 1954s
进度 17330/17922 | 输入 2604889 tok | 输出 1986540 tok | 费用 ¥6.5780 | 1956s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 8034 (char 8033); 1s 后重试
进度 17340/17922 | 输入 2607513 tok | 输出 1988751 tok | 费用 ¥6.5850 | 1966s
进度 17350/17922 | 输入 2608610 tok | 输出 1989534 tok | 费用 ¥6.5877 | 1971s
进度 17360/17922 | 输入 2612220 tok | 输出 1992817 tok | 费用 ¥6.5979 | 1972s
进度 17370/17922 | 输入 2617135 tok | 输出 1997407 tok | 费用 ¥6.6119 | 1975s
进度 17380/17922 | 输入 2621509 tok | 输出 2001414 tok | 费用 ¥6.6243 | 1976s
进度 17390/17922 | 输入 2623114 tok | 输出 2002640 tok | 费用 ¥6.6284 | 1978s
进度 17400/17922 | 输入 2628401 tok | 输出 2007353 tok | 费用 ¥6.6431 | 1981s
进度 17410/17922 | 输入 2630164 tok | 输出 2008719 tok | 费用 ¥6.6476 | 1983s
进度 17420/17922 | 输入 2633046 tok | 输出 2011395 tok | 费用 ¥6.6558 | 1986s
进度 17430/17922 | 输入 2637545 tok | 输出 2015377 tok | 费用 ¥6.6683 | 1986s
进度 17440/17922 | 输入 2640719 tok | 输出 2018137 tok | 费用 ¥6.6770 | 1989s
进度 17450/17922 | 输入 2642091 tok | 输出 2019210 tok | 费用 ¥6.6805 | 1993s
进度 17460/17922 | 输入 2644659 tok | 输出 2021395 tok | 费用 ¥6.6874 | 1994s
进度 17470/17922 | 输入 2646934 tok | 输出 2023251 tok | 费用 ¥6.6934 | 1995s
进度 17480/17922 | 输入 2650132 tok | 输出 2026455 tok | 费用 ¥6.7030 | 1996s
进度 17490/17922 | 输入 2653577 tok | 输出 2029350 tok | 费用 ¥6.7123 | 2002s
进度 17500/17922 | 输入 2656900 tok | 输出 2032036 tok | 费用 ¥6.7210 | 2004s
进度 17510/17922 | 输入 2659169 tok | 输出 2033878 tok | 费用 ¥6.7269 | 2006s
进度 17520/17922 | 输入 2661422 tok | 输出 2035718 tok | 费用 ¥6.7329 | 2006s
进度 17530/17922 | 输入 2664503 tok | 输出 2038247 tok | 费用 ¥6.7410 | 2007s
进度 17540/17922 | 输入 2666399 tok | 输出 2039730 tok | 费用 ¥6.7459 | 2011s
进度 17550/17922 | 输入 2670318 tok | 输出 2043014 tok | 费用 ¥6.7563 | 2013s
进度 17560/17922 | 输入 2672507 tok | 输出 2044769 tok | 费用 ¥6.7620 | 2015s
进度 17570/17922 | 输入 2674330 tok | 输出 2046316 tok | 费用 ¥6.7670 | 2015s
进度 17580/17922 | 输入 2675830 tok | 输出 2047496 tok | 费用 ¥6.7708 | 2021s
进度 17590/17922 | 输入 2678925 tok | 输出 2050150 tok | 费用 ¥6.7792 | 2022s
进度 17600/17922 | 输入 2680877 tok | 输出 2051769 tok | 费用 ¥6.7844 | 2024s
进度 17610/17922 | 输入 2683720 tok | 输出 2054288 tok | 费用 ¥6.7923 | 2027s
进度 17620/17922 | 输入 2688886 tok | 输出 2059096 tok | 费用 ¥6.8071 | 2033s
进度 17630/17922 | 输入 2693967 tok | 输出 2063826 tok | 费用 ¥6.8216 | 2036s
进度 17640/17922 | 输入 2694919 tok | 输出 2064460 tok | 费用 ¥6.8238 | 2036s
进度 17650/17922 | 输入 2697745 tok | 输出 2066827 tok | 费用 ¥6.8314 | 2037s
进度 17660/17922 | 输入 2701204 tok | 输出 2069914 tok | 费用 ¥6.8410 | 2037s
进度 17670/17922 | 输入 2703773 tok | 输出 2072059 tok | 费用 ¥6.8479 | 2039s
进度 17680/17922 | 输入 2704961 tok | 输出 2072868 tok | 费用 ¥6.8507 | 2040s
进度 17690/17922 | 输入 2706032 tok | 输出 2073609 tok | 费用 ¥6.8532 | 2041s
进度 17700/17922 | 输入 2707312 tok | 输出 2074513 tok | 费用 ¥6.8563 | 2042s
进度 17710/17922 | 输入 2708430 tok | 输出 2075291 tok | 费用 ¥6.8590 | 2042s
进度 17720/17922 | 输入 2709505 tok | 输出 2076041 tok | 费用 ¥6.8616 | 2044s
进度 17730/17922 | 输入 2714374 tok | 输出 2080401 tok | 费用 ¥6.8752 | 2044s
进度 17740/17922 | 输入 2715844 tok | 输出 2081527 tok | 费用 ¥6.8789 | 2047s
进度 17750/17922 | 输入 2717340 tok | 输出 2082666 tok | 费用 ¥6.8827 | 2048s
进度 17760/17922 | 输入 2718974 tok | 输出 2083927 tok | 费用 ¥6.8868 | 2049s
进度 17770/17922 | 输入 2720680 tok | 输出 2085251 tok | 费用 ¥6.8912 | 2049s
进度 17780/17922 | 输入 2722191 tok | 输出 2086420 tok | 费用 ¥6.8950 | 2051s
进度 17790/17922 | 输入 2724267 tok | 输出 2088114 tok | 费用 ¥6.9005 | 2053s
进度 17800/17922 | 输入 2725369 tok | 输出 2088882 tok | 费用 ¥6.9031 | 2053s
进度 17810/17922 | 输入 2726516 tok | 输出 2089708 tok | 费用 ¥6.9059 | 2054s
进度 17820/17922 | 输入 2727872 tok | 输出 2090699 tok | 费用 ¥6.9093 | 2054s
进度 17830/17922 | 输入 2728735 tok | 输出 2091225 tok | 费用 ¥6.9112 | 2054s
进度 17840/17922 | 输入 2730489 tok | 输出 2092598 tok | 费用 ¥6.9157 | 2055s
进度 17850/17922 | 输入 2731564 tok | 输出 2093319 tok | 费用 ¥6.9182 | 2058s
进度 17860/17922 | 输入 2732642 tok | 输出 2094074 tok | 费用 ¥6.9208 | 2058s
进度 17870/17922 | 输入 2733970 tok | 输出 2095070 tok | 费用 ¥6.9241 | 2060s
进度 17880/17922 | 输入 2735350 tok | 输出 2096143 tok | 费用 ¥6.9276 | 2060s
进度 17890/17922 | 输入 2736044 tok | 输出 2096551 tok | 费用 ¥6.9291 | 2061s
进度 17900/17922 | 输入 2737630 tok | 输出 2097762 tok | 费用 ¥6.9332 | 2061s
进度 17902/17922 | 输入 2738110 tok | 输出 2097985 tok | 费用 ¥6.9341 | 2061s
进度 17912/17922 | 输入 2739781 tok | 输出 2099313 tok | 费用 ¥6.9384 | 2065s
进度 17922/17922 | 输入 2742518 tok | 输出 2101754 tok | 费用 ¥6.9460 | 2067s
============================================================
完成: 17922 条
思考模式出现次数: 0 (应为 0)
输入 token: 2742518 | 输出 token: 2101754
费用估算: ¥6.9460
